Account Name,Bank,API URL,Product ID,API Result,Pension,Youth,Cash Management,SMSF,Christmas
Incentive Saver,St George Bank,https://digital-api.stgeorge.com.au/cds-au/v1,STGSavIncentiveSaver,Succeeded,No,No,No,No,No
Maxi Saver,St George Bank,https://digital-api.stgeorge.com.au/cds-au/v1,STGSavMaxiSaver,Succeeded,No,No,No,No,No
Retirement Access Account,St George Bank,https://digital-api.stgeorge.com.au/cds-au/v1,STGTrRetirementAccess,Succeeded,Yes,No,No,No,No
eCASH Account,St George Bank,https://digital-api.stgeorge.com.au/cds-au/v1,ASGeCashAccount,Succeeded,No,No,No,No,No
iSave Online,Summerland Financial Services Limited (trading as Summerland Credit Union),https://public.cdr-api.summerland.com.au/cds-au/v1,3,Succeeded,No,No,No,No,No
Gold Class,Summerland Financial Services Limited (trading as Summerland Credit Union),https://public.cdr-api.summerland.com.au/cds-au/v1,8,Succeeded,Yes,No,No,No,No
Supersaver,Summerland Financial Services Limited (trading as Summerland Credit Union),https://public.cdr-api.summerland.com.au/cds-au/v1,12,Succeeded,No,Yes,No,No,No
Money Sense,Summerland Financial Services Limited (trading as Summerland Credit Union),https://public.cdr-api.summerland.com.au/cds-au/v1,13,Succeeded,No,Yes,No,No,No
Bonus Saver,Summerland Financial Services Limited (trading as Summerland Credit Union),https://public.cdr-api.summerland.com.au/cds-au/v1,2,Succeeded,No,No,No,No,No
Carbon Insights Account,Suncorp-Metway Limited,https://id-ob.suncorpbank.com.au/cds-au/v1/,CIA,Succeeded,No,No,No,No,No
Growth Saver Account,Suncorp-Metway Limited,https://id-ob.suncorpbank.com.au/cds-au/v1/,GS,Succeeded,No,No,No,No,No
Kids Savings,Suncorp-Metway Limited,https://id-ob.suncorpbank.com.au/cds-au/v1/,KS,Succeeded,No,Yes,No,No,No
Mighty Saver account,"Teachers Mutual Bank Limited (trading as Firefighters Mutual Bank, Health Professionals Bank, Hiver Bank, Teachers Mutual Bank and UniBank)",https://ob.tmbl.com.au/tmbank/cds-au/v1,501d1af4-4a3a-4b5f-a90f-c5a0933fb4a5,Succeeded,No,No,No,No,No
Target Saver account,"Teachers Mutual Bank Limited (trading as Firefighters Mutual Bank, Health Professionals Bank, Hiver Bank, Teachers Mutual Bank and UniBank)",https://ob.tmbl.com.au/tmbank/cds-au/v1,009d4462-6cf2-4adf-82c5-1dab80549c64,Succeeded,No,No,No,No,No
Pension Advantage account,"Teachers Mutual Bank Limited (trading as Firefighters Mutual Bank, Health Professionals Bank, Hiver Bank, Teachers Mutual Bank and UniBank)",https://ob.tmbl.com.au/tmbank/cds-au/v1,031f8f9a-4e33-469e-b650-a54873bd3d44,Succeeded,Yes,No,No,No,No
New Teacher Online Savings account,"Teachers Mutual Bank Limited (trading as Firefighters Mutual Bank, Health Professionals Bank, Hiver Bank, Teachers Mutual Bank and UniBank)",https://ob.tmbl.com.au/tmbank/cds-au/v1,767fa230-c742-4cf1-8e28-5061dd0019b5,Succeeded,No,No,No,No,No
Edvest Cash Management account,"Teachers Mutual Bank Limited (trading as Firefighters Mutual Bank, Health Professionals Bank, Hiver Bank, Teachers Mutual Bank and UniBank)",https://ob.tmbl.com.au/tmbank/cds-au/v1,a56e102d-bffe-45c5-a31e-f389cb47d985,Succeeded,No,No,No,No,No
Cash Management account,"Teachers Mutual Bank Limited (trading as Firefighters Mutual Bank, Health Professionals Bank, Hiver Bank, Teachers Mutual Bank and UniBank)",https://ob.tmbl.com.au/tmbank/cds-au/v1,3c662d36-323a-47ae-9386-e5dcad66695d,Succeeded,No,No,Yes,No,No
Reward Saver account,"Teachers Mutual Bank Limited (trading as Firefighters Mutual Bank, Health Professionals Bank, Hiver Bank, Teachers Mutual Bank and UniBank)",https://ob.tmbl.com.au/tmbank/cds-au/v1,95ebf0fc-5891-4eae-b5af-7515170d545b,Succeeded,No,No,No,No,No
Online Savings account,"Teachers Mutual Bank Limited (trading as Firefighters Mutual Bank, Health Professionals Bank, Hiver Bank, Teachers Mutual Bank and UniBank)",https://ob.tmbl.com.au/tmbank/cds-au/v1,6c7babde-9ee2-4da2-8500-9089ceb5a454,Succeeded,No,No,No,No,No
eCall Savings Account,The Broken Hill Community Credit Union Ltd,https://public.cdr-api.bhccu.com.au/cds-au/v1,20,Succeeded,No,No,No,No,No
Santa Saver Account,The Broken Hill Community Credit Union Ltd,https://public.cdr-api.bhccu.com.au/cds-au/v1,21,Succeeded,No,No,No,No,Yes
Busy Bee Account,The Broken Hill Community Credit Union Ltd,https://public.cdr-api.bhccu.com.au/cds-au/v1,45,Succeeded,No,Yes,No,No,No
Super Youth Saver,The Broken Hill Community Credit Union Ltd,https://public.cdr-api.bhccu.com.au/cds-au/v1,46,Succeeded,No,Yes,No,No,No
PENSION ACCESS ACCOUNT,The Capricornian Ltd,https://onlinebanking.capricornian.com.au/OpenBanking/cds-au/v1,S50_ACCESS,Succeeded,Yes,No,No,No,No
YOUTH ACCESS ACCOUNT,The Capricornian Ltd,https://onlinebanking.capricornian.com.au/OpenBanking/cds-au/v1,S7_ACCESS,Succeeded,No,Yes,No,No,No
ISaver,The Capricornian Ltd,https://onlinebanking.capricornian.com.au/OpenBanking/cds-au/v1,S5_SAVINGS,Succeeded,No,No,No,No,No
EVERYDAY SAVER ACCOUNT,The Capricornian Ltd,https://onlinebanking.capricornian.com.au/OpenBanking/cds-au/v1,S29_SAVINGS,Succeeded,No,No,No,No,No
S2 Budget Account,Traditional Credit Union Limited,,TCU002,Succeeded,No,No,No,No,No
S9 Child account,Traditional Credit Union Limited,,TCU009,Succeeded,No,Yes,No,No,No
S6 Student Account,Traditional Credit Union Limited,,TCU006,Succeeded,No,Yes,No,No,No
S3 Christmas Club Account,Traditional Credit Union Limited,,TCU003,Succeeded,No,No,No,No,Yes
PREMIUM SAVERS ACCOUNT,Transport Mutual Credit Union Limited,https://banking.transportmutual.com.au/OpenBanking/cds-au/v1,S8_PREMIUM_SAVERS_ACCOUNT,Succeeded,No,No,No,No,No
CHRISTMAS CLUB ACCOUNT,Transport Mutual Credit Union Limited,https://banking.transportmutual.com.au/OpenBanking/cds-au/v1,CHRISTMAS_CLUB_ACCOUNT,Succeeded,No,No,No,No,Yes
REDIFUND ACCOUNT,Transport Mutual Credit Union Limited,https://banking.transportmutual.com.au/OpenBanking/cds-au/v1,S7_REDIFUND_ACCOUNT,Succeeded,No,No,No,No,No
MULTI-ACCESS ACCOUNT,Transport Mutual Credit Union Limited,https://banking.transportmutual.com.au/OpenBanking/cds-au/v1,MULTI-ACCESS_ACCOUNT,Succeeded,No,No,No,No,No
Save account,Ubank (currently under 86400 feed),https://public.cdr-api.86400.com.au/cds-au/v1,1,Succeeded,No,No,No,No,No
MoneyMAX - UNITY,"Unity Bank Limited (trading as Reliance Bank, Bankstown City Unity Bank and Unity Bank)",https://ibanking.unitybank.com.au/OpenBanking/cds-au/v1,MoneyMAX_-_UNITY,Succeeded,No,No,No,No,No
Access Savings Account - UNITY,"Unity Bank Limited (trading as Reliance Bank, Bankstown City Unity Bank and Unity Bank)",https://ibanking.unitybank.com.au/OpenBanking/cds-au/v1,Access_Savings_-_UNITY,Succeeded,No,No,No,No,No
Bonus Saver Account - UNITY,"Unity Bank Limited (trading as Reliance Bank, Bankstown City Unity Bank and Unity Bank)",https://ibanking.unitybank.com.au/OpenBanking/cds-au/v1,Bonus_Saver_-_UNITY,Succeeded,No,No,No,No,No
Pensioner Security Account - UNITY,"Unity Bank Limited (trading as Reliance Bank, Bankstown City Unity Bank and Unity Bank)",https://ibanking.unitybank.com.au/OpenBanking/cds-au/v1,Pensioner_Security_-_UNITY,Succeeded,Yes,No,No,No,No
Power-up eSaver Account - UNITY,"Unity Bank Limited (trading as Reliance Bank, Bankstown City Unity Bank and Unity Bank)",https://ibanking.unitybank.com.au/OpenBanking/cds-au/v1,Power-up_eSaver_-_UNITY,Succeeded,No,No,No,No,No
Christmas Savings Account - UNITY,"Unity Bank Limited (trading as Reliance Bank, Bankstown City Unity Bank and Unity Bank)",https://ibanking.unitybank.com.au/OpenBanking/cds-au/v1,Christmas_Savings_-_UNITY,Succeeded,No,No,No,No,Yes
Up Saver,Up Bank,https://api.up.com.au/cds-au/v1,up-saver,Succeeded,No,No,No,No,No
Bonus Saver Account,Victoria Teachers Limited (trading as Bank First),https://public.cdr.bankfirst.com.au/cds-au/v1,7001a0c9-b435-4dae-b386-f1cabd79229f,Succeeded,No,No,No,No,No
Cash Management Account,Victoria Teachers Limited (trading as Bank First),https://public.cdr.bankfirst.com.au/cds-au/v1,625c81d6-bc13-4c5b-a175-35df54187dfc,Succeeded,No,No,Yes,No,No
Christmas Club Account,Victoria Teachers Limited (trading as Bank First),https://public.cdr.bankfirst.com.au/cds-au/v1,6690c88c-04b8-4c36-8a56-cec0909f8ad4,Succeeded,No,No,No,No,Yes
First Access Account,Victoria Teachers Limited (trading as Bank First),https://public.cdr.bankfirst.com.au/cds-au/v1,e0589ed4-b32b-4d7d-9c60-2ad88b038e11,Succeeded,No,Yes,No,No,No
First Home Bonus Saver Account,Victoria Teachers Limited (trading as Bank First),https://public.cdr.bankfirst.com.au/cds-au/v1,6512a9e8-baef-49b8-b8b2-ee2ee97ee50e,Succeeded,No,No,No,No,No
First Saver Account,Victoria Teachers Limited (trading as Bank First),https://public.cdr.bankfirst.com.au/cds-au/v1,2e9788d2-636a-4c59-9f2b-1e23935028ff,Succeeded,No,Yes,No,No,No
Online Saver Account,Victoria Teachers Limited (trading as Bank First),https://public.cdr.bankfirst.com.au/cds-au/v1,c4738728-0e16-4957-b37b-5547a99d56c4,Succeeded,No,No,No,No,No
Pension Account,Victoria Teachers Limited (trading as Bank First),https://public.cdr.bankfirst.com.au/cds-au/v1,523398f7-b767-446a-b4f7-ee26025a82ba,Succeeded,Yes,No,No,No,No
CASH MANAGER ONLINE,Warwick Credit Union Ltd,https://openbanking.wcu.com.au/OpenBanking/cds-au/v1,S4,Succeeded,No,No,Yes,No,No
CASH MANAGER PLUS,Warwick Credit Union Ltd,https://openbanking.wcu.com.au/OpenBanking/cds-au/v1,S3,Succeeded,No,No,Yes,No,No
CHRISTMAS CLUB,Warwick Credit Union Ltd,https://openbanking.wcu.com.au/OpenBanking/cds-au/v1,S9,Succeeded,No,No,No,No,Yes
CHOICE ACCOUNT,Warwick Credit Union Ltd,https://openbanking.wcu.com.au/OpenBanking/cds-au/v1,S6,Succeeded,No,No,No,No,No
PENSIONER CHOICE,Warwick Credit Union Ltd,https://openbanking.wcu.com.au/OpenBanking/cds-au/v1,S10,Succeeded,Yes,No,No,No,No
Westpac Life,Westpac Banking Corporation,https://digital-api.westpac.com.au/cds-au/v1,SavLife,Succeeded,No,No,No,No,No
Westpac eSaver,Westpac Banking Corporation,https://digital-api.westpac.com.au/cds-au/v1,SavESaver,Succeeded,No,No,No,No,No
Bump Savings,Westpac Banking Corporation,https://digital-api.westpac.com.au/cds-au/v1,SavBump,Succeeded,No,Yes,No,No,No
Cash Management Account,Westpac Banking Corporation,https://digital-api.westpac.com.au/cds-au/v1,BTCMA,Succeeded,No,No,Yes,No,No
Cash Management Account Saver,Westpac Banking Corporation,https://digital-api.westpac.com.au/cds-au/v1,BTCMASaver,Succeeded,No,No,Yes,No,No
Cash Investment Account,Westpac Banking Corporation,https://digital-api.westpac.com.au/cds-au/v1,WestpacCashInvestmentAcc,Succeeded,No,No,No,No,No
Westpac 55+ and Retired,Westpac Banking Corporation,https://digital-api.westpac.com.au/cds-au/v1,TrChoice55,Succeeded,Yes,No,No,No,No
Westpac Choice,Westpac Banking Corporation,https://digital-api.westpac.com.au/cds-au/v1,TrChoice,Succeeded,No,No,No,No,No
CHRISTMAS,Woolworths Team Bank Limited,https://online.woolworthsteambank.com.au/OpenBanking/cds-au/v1,S2,Succeeded,No,No,No,No,Yes
CASH MANAGEMENT,Woolworths Team Bank Limited,https://online.woolworthsteambank.com.au/OpenBanking/cds-au/v1,S7,Succeeded,No,No,Yes,No,No
RETIREMENT ACCOUNT,Woolworths Team Bank Limited,https://online.woolworthsteambank.com.au/OpenBanking/cds-au/v1,S21,Succeeded,Yes,No,No,No,No
RETIREMENT ACCOUNT,Woolworths Team Bank Limited,https://online.woolworthsteambank.com.au/OpenBanking/cds-au/v1,S20,Succeeded,Yes,No,No,No,No
NETPLUS,Woolworths Team Bank Limited,https://online.woolworthsteambank.com.au/OpenBanking/cds-au/v1,S10,Succeeded,No,No,No,No,No
GOAL,Woolworths Team Bank Limited,https://online.woolworthsteambank.com.au/OpenBanking/cds-au/v1,S9,Succeeded,No,No,No,No,No
SAVERPLUS,Woolworths Team Bank Limited,https://online.woolworthsteambank.com.au/OpenBanking/cds-au/v1,S6,Succeeded,No,No,No,No,No
GOAL,Woolworths Team Bank Limited,https://online.woolworthsteambank.com.au/OpenBanking/cds-au/v1,S8,Succeeded,No,No,No,No,No
